english
fine
good
great
happy
sad
nervous
tired
sleepy
busy
hungry
thirsty
angry
full
sick
numbers
zero
one
two
three
four
five
six
seven
eight
nine
ten
eleven
twelve
thirteen
fourteen
fifteen
sixteen
seventeen
eighteen
nineteen
twenty
twenty-one
twenty-two
twenty-three
twenty-four
twenty-five
twenty-six
twenty-seven
twenty-eight
twenty-nine
thirty
forty
fifty
sixty
seventy
eighty
ninety
one hundred
one thousand
colors
white
red
orange
yellow
green
pink
purple
brown
black
blue
light blue
yellow green
gold
silver
shapes
circle
cross
diamond
heart
rectangle
square
star
triangle
cube
sports
baseball
basketball
dodgeball
rugby
soccer
tennis
table tennis
badminton
cricket
gymnastics
track and field
judo
kendo
sumo
swimming
skateboarding
skiing
golf
karate
marathon
dancing
softball
skating
surfing
wrestling
fencing
road cycling
sailing
weightlifting
figure skating
ice hockey
boccia
wheelchair tennis
food
rice
rice ball
curry and rice
grilled eel
grilled fish
bread
sandwich
pancake
pizza
hamburger
hot dog
French fries
fried chicken
sausage
steak
omelet
spaghetti
pie
salad
soup
fried noodles
ramen
soba
beef bowl
sushi
tempura
cereal
cheese fondue
fried egg
jam
miso soup
toast
tuna bowl
yogurt
gyoza
okonomiyaki
drinks
coffee
tea
green tea
juice
soda
milk
water
mineral water
barley tea
cola
oolong
dessert
cake
donut
parfait
pudding
ice cream
shaved ice
chocolate
cream puff
popcorn
candy
cookie
crepe
jelly
fruit
vegetables
apple
banana
bean
broccoli
cabbage
carrot
cherry
corn
cucumber
eggplant
grapes
green pepper
kiwi fruit
lemon
lettuce
melon
mushroom
nut
onion
orange
peach
pineapple
potato
spinach
strawberry
tomato
watermelon
celery
mango
olive
pear
persimmon
pumpkin
radish
meals
breakfast
lunch
dinner
school lunch
snack
meat
beef
chicken
pork
bacon
ham
cheese
egg
fish
salmon
octopus
crab
shellfish
shrimp
squid
tuna
salt
sugar
bitter
sweet
salty
sour
spicy
delicious
soft
hard
cold
hot
animals
bear
elephant
tiger
lion
horse
zebra
camel
giraffe
gorilla
monkey
orangutan
panda
koala
dog
cat
fox
rabbit
mouse
crocodile
snake
frog
bird
polar bear
hippo
cow
pig
wild boar
kangaroo
deer
goat
sheep
hamster
wolf
bat
chicken
duck
hawk
snail
iguana
dinosaur
dragon
phoenix
unicorn
nature
desert
forest
rainforest
lake
mountain
river
savanna
sea
beach
hot spring
island
ocean
mud flats
wetlands
oasis
pond
waterfall
tree
plant
flower
rose
fire
ice
rock
sky
cloud
rain
snow
rainbow
thunder
aurora
sun
moon
star
space
sea animals
whale
dolphin
penguin
sea turtle
fish
shark
crab
jellyfish
sea otter
tuna
eel
octopus
squid
shrimp
shellfish
coral
starfish
bugs
ant
beetle
stag beetle
butterfly
dragonfly
grasshopper
mantis
spider
cicada
firefly
ladybug
mosquito
earthworm
forest loss
plant trees
global warming
save energy
plastic
use eco-friendly bags
refuse
reduce
reuse
recycle
hunting
overfishing
air pollution
chemicals
traffic accidents
months
January
February
March
April
May
June
July
August
September
October
November
December
year
dates
first
second
third
fourth
fifth
sixth
seventh
eighth
ninth
tenth
eleventh
twelfth
thirteenth
fourteenth
fifteenth
sixteenth
seventeenth
eighteenth
nineteenth
twentieth
twenty-first
twenty-second
twenty-third
twenty-fourth
twenty-fifth
twenty-sixth
twenty-seventh
twenty-eighth
twenty-ninth
thirtieth
thirty-first
days
Sunday
Monday
Tuesday
Wednesday
Thursday
Friday
Saturday
week
seasons
spring
summer
fall
winter
weather
sunny
cloudy
windy
rainy
snowy
warm
hot
humid
I
you
she
he
we
man
woman
children
child
boy
girl
man
woman
classmates
friends
baby
active
brave
friendly
funny
kind
shy
smart
strong
gentle
family
grandfather
grandmother
grandparents
father
mother
parents
uncle
aunt
brother
me
sister
cousin
spell
like
listen
want
play
walk
run
dance
jump
catch
swim
fly
sing
cook
have
go
turn
see
look
